header,title,titleUrl,subtitles,time,products,description,channelName,channelUrl
YouTube,ดู Hiroyuki Sawano / Project【emU】「Inferno＜×PT＞」,https://www.youtube.com/watch?v=c49zedQ1eNM,"[{'name': '澤野弘之 / SawanoHiroyuki[nZk]', 'url': 'https://www.youtube.com/channel/UCpT4syVopfBl2bATVfAt65g'}]",2020-12-28T13:57:19.737Z,['YouTube'],,澤野弘之 / SawanoHiroyuki[nZk],https://www.youtube.com/channel/UCpT4syVopfBl2bATVfAt65g
YouTube,ดู เรียน Game Design กับ Genshin Impact,https://www.youtube.com/watch?v=3zIpwQQdBmY,"[{'name': '9arm', 'url': 'https://www.youtube.com/channel/UCoiEtD4v1qMAqHV5MDI5Qpg'}]",2020-12-27T13:26:49.854Z,['YouTube'],,9arm,https://www.youtube.com/channel/UCoiEtD4v1qMAqHV5MDI5Qpg
YouTube,ดู LIVE - DayZ #2 - วิบากกรรมหาเพื่อนภาค2,https://www.youtube.com/watch?v=eosGmTJZZZ8,"[{'name': 'HEARTROCKER', 'url': 'https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ'}]",2020-12-27T13:22:10.693Z,['YouTube'],,HEARTROCKER,https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ
YouTube,ดู esport ในร่างกฏหมายและความชิบหายของงานวิจัย,https://www.youtube.com/watch?v=t1ZpJzlH6QE,"[{'name': '9arm', 'url': 'https://www.youtube.com/channel/UCoiEtD4v1qMAqHV5MDI5Qpg'}]",2020-12-27T13:15:59.318Z,['YouTube'],,9arm,https://www.youtube.com/channel/UCoiEtD4v1qMAqHV5MDI5Qpg
YouTube,ดู ปืนคู่หูหมีดูสูสีหูหมีหูหมู - FreeFire สไตล์โบ๊ะบ๊ะ #6,https://www.youtube.com/watch?v=CNo1z1MScbE,"[{'name': 'HEARTROCKER', 'url': 'https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ'}]",2020-12-27T11:09:01.053Z,['YouTube'],,HEARTROCKER,https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ
YouTube,ดู 宅REC-nZk「Barricades ＜MODv＞」／ SawanoHiroyuki[nZk]:Yosh (Survive Said The Prophet),https://www.youtube.com/watch?v=UoxLPBjXM18,"[{'name': '澤野弘之 / SawanoHiroyuki[nZk]', 'url': 'https://www.youtube.com/channel/UCbJM_Y06iuUOl3hVPqYcvng'}]",2020-12-27T02:04:25.326Z,['YouTube'],,澤野弘之 / SawanoHiroyuki[nZk],https://www.youtube.com/channel/UCbJM_Y06iuUOl3hVPqYcvng
YouTube,ดู Just Another Hero,https://www.youtube.com/watch?v=qmxqc5hcEXY,"[{'name': 'Steven McNair - Topic', 'url': 'https://www.youtube.com/channel/UCjlo9dllYgr8CPMf3Aaqndw'}]",2020-12-27T02:00:58.488Z,['YouTube'],,Steven McNair - Topic,https://www.youtube.com/channel/UCjlo9dllYgr8CPMf3Aaqndw
YouTube,ดู Barricades (BARRichestra),https://www.youtube.com/watch?v=HH9eYJR4C8k,"[{'name': 'Samuel Kim - Topic', 'url': 'https://www.youtube.com/channel/UC5LMr1oW9sZp5DVK9xr_k9A'}]",2020-12-27T01:56:54.775Z,['YouTube'],,Samuel Kim - Topic,https://www.youtube.com/channel/UC5LMr1oW9sZp5DVK9xr_k9A
YouTube,ดู Call of Silence x Zero Eclipse,https://www.youtube.com/watch?v=CGgPHpOYpZ4,"[{'name': 'Samuel Kim - Topic', 'url': 'https://www.youtube.com/channel/UC5LMr1oW9sZp5DVK9xr_k9A'}]",2020-12-27T01:52:20.072Z,['YouTube'],,Samuel Kim - Topic,https://www.youtube.com/channel/UC5LMr1oW9sZp5DVK9xr_k9A
YouTube,ดู Attack on Titan Season 4 Episode 1 OST | Reiner Transformation x Battle Theme,https://www.youtube.com/watch?v=2OjzdpunQcc,"[{'name': 'Samuel Kim Music', 'url': 'https://www.youtube.com/channel/UCuoKuTCQ9dmPIgOgyLm9HgQ'}]",2020-12-27T01:46:48.093Z,['YouTube'],,Samuel Kim Music,https://www.youtube.com/channel/UCuoKuTCQ9dmPIgOgyLm9HgQ
